Audio,OptionA,OptionB,ExpAnswer,Item,Group
01OB.wav,A. O Gustavo não salvou ninguém.,B. O Gustavo não foi salvo por ninguém.,B,01OB,B
02OB.wav,A. O Danilo não foi indicado por ninguém para o jornal.,B. O Danilo não indicou ninguém para o jornal.,A,02OB,A
03OB.wav,A. A Letícia não atendeu ninguém durante o serviço de bordo.,B. A Letícia não foi atendida por ninguém durante o serviço de bordo.,B,03OB,C
04OB.wav,A. O Ricardo não foi entediado por ninguém.,B. O Ricardo não entediou ninguém,A,04OB,B
05OB.wav,A. A diretora não presenteou ninguém com um relógio.,B. A diretora não foi presenteada com um relógio por ninguém.,B,05OB,A
06OB.wav,A. O solista não foi impressionado por ninguém durante a primeira música.,B. O solista não impressionou ninguém durante a primeira música.,A,06OB,C
07OB.wav,A. A antagonista não estapeou ninguém durante a cena final.,B. A antagonista não foi estapeada por ninguém durante a cena final.,B,07OB,B
08OB.wav,A. O repórter não foi informado por ninguém sobre a causa do acidente.,B. O repórter não informou ninguém sobre a causa do acidente.,A,08OB,A
09OB.wav,A. O Antônio não denunciou ninguém na delegacia.,B. O Antônio não foi denunciado na delegacia por ninguém.,B,09OB,C
10OB.wav,A. O Antônio não foi denunciado na delegacia por ninguém.,B. A Dolores não encontrou ninguém na porta do bar.,A,10OB,B
11OB.wav,A. O Ernesto não contratou ninguém para a vaga de estagiário.,B. O Ernesto não foi contratado para a vaga de estagiário por ninguém.,B,11OB,A
12OB.wav,A. A Juliana não foi defendida da acusação por ninguém.,B. A Juliana não defendeu ninguém da acusação.,A,12OB,C
13OB.wav,A. A blogueira não entrevistou ninguém sobre o prêmio.,B. A blogueira não foi entrevistada sobre o prêmio por ninguém.,B,13OB,B
14OB.wav,A. O cozinheiro não foi xingado por ninguém por causa do pedido.,B. O cozinheiro não xingou ninguém por causa do pedido.,A,14OB,A
15OB.wav,A. A estagiária não avisou ninguém sobre a maquiagem,B. A estagiária não foi avisada por ninguém sobre a maquiagem.,B,15OB,C
16OB.wav,A. Os funcionários não foram convidados por ninguém para a festa.,B. Os funcionários não convidaram ninguém para a festa.,A,16OB,B
17OB.wav,A. A Priscila não corrigiu ninguém na postura final.,B. A Priscila não foi corrigida por ninguém na postura final.,B,17OB,A
18OB.wav,A. A formanda não foi cumprimentada por ninguém depois da entrega do diploma.,B. A formanda não cumprimentou ninguém depois da entrega do diploma.,A,18OB,C
19GAP.wav,A. O Danilo levou o Fernando no churrasco da empresa.,B. O Fernando levou a Camila no churrasco da empresa.,B,19GAP,A
